date,region,price_type,price_per_sqm,n_regions
2020-11-01,braga,sale,1039,1
2020-11-01,braganca,sale,758,1
2020-11-01,castelo-branco,rental,4.8,1
2020-11-01,castelo-branco,sale,680,1
2020-11-01,coimbra,rental,6.6,1
2020-11-01,coimbra,sale,1187,1
2020-11-01,evora,rental,6.9,1
2020-11-01,evora,sale,875,1
2020-11-01,faro,rental,9.2,1
2020-11-01,faro,sale,2336,1
2020-11-01,guarda,sale,1137,1
2020-11-01,leiria,rental,5.6,1
2020-11-01,leiria,sale,1137,1
2020-11-01,lisboa,rental,13.2,1
2020-11-01,lisboa,sale,3281,1
2020-11-01,madeira,rental,7.8,1
2020-11-01,madeira,sale,1494.5,2
2020-11-01,portalegre,sale,631,1
2020-11-01,porto,rental,9.8,1
2020-11-01,porto,sale,2085,1
2020-11-01,portugal,rental,11.1,1
2020-11-01,portugal,sale,2085,1
2020-11-01,santarem,rental,4.8,1
2020-11-01,santarem,sale,782,1
2020-11-01,setubal,rental,8.4,1
2020-11-01,setubal,sale,1677,1
2020-11-01,viana-do-castelo,rental,5.1,1
2020-11-01,viana-do-castelo,sale,1010,1
2020-11-01,vila-real,sale,852,1
2020-11-01,viseu,rental,5.2,1
2020-11-01,viseu,sale,852,1
2020-12-01,aveiro,rental,6.9,1
2020-12-01,aveiro,sale,1249,1
2020-12-01,azores,rental,7.5,1
2020-12-01,azores,sale,934.25,4
2020-12-01,beja,sale,777,1
2020-12-01,braga,rental,6.1,1
2020-12-01,braga,sale,1062,1
2020-12-01,braganca,sale,765,1
2020-12-01,castelo-branco,rental,4.9,1
2020-12-01,castelo-branco,sale,693,1
2020-12-01,coimbra,rental,6.6,1
2020-12-01,coimbra,sale,1196,1
2020-12-01,evora,rental,7.1,1
2020-12-01,evora,sale,871,1
2020-12-01,faro,rental,9.1,1
2020-12-01,faro,sale,2347,1
2020-12-01,guarda,sale,1143,1
2020-12-01,leiria,rental,5.6,1
2020-12-01,leiria,sale,1143,1
2020-12-01,lisboa,rental,13.1,1
2020-12-01,lisboa,sale,3290,1
2020-12-01,madeira,rental,7.9,1
2020-12-01,madeira,sale,1515.5,2
2020-12-01,portalegre,sale,634,1
2020-12-01,porto,rental,9.8,1
2020-12-01,porto,sale,2107,1
2020-12-01,portugal,rental,11.1,1
2020-12-01,portugal,sale,2099,1
2020-12-01,santarem,rental,4.9,1
2020-12-01,santarem,sale,792,1
2020-12-01,setubal,rental,8.4,1
2020-12-01,setubal,sale,1688,1
2020-12-01,viana-do-castelo,rental,5.1,1
2020-12-01,viana-do-castelo,sale,1008,1
2020-12-01,vila-real,sale,853,1
2020-12-01,viseu,rental,5,1
2020-12-01,viseu,sale,868,1
2021-01-01,aveiro,rental,7.2,1
2021-01-01,aveiro,sale,1268,1
2021-01-01,azores,rental,7.8,1
2021-01-01,azores,sale,942.25,4
2021-01-01,beja,sale,781,1
2021-01-01,braga,rental,6.1,1
2021-01-01,braga,sale,1077,1
2021-01-01,braganca,sale,772,1
2021-01-01,castelo-branco,rental,5,1
2021-01-01,castelo-branco,sale,700,1
2021-01-01,coimbra,rental,6.7,1
2021-01-01,coimbra,sale,1198,1
2021-01-01,evora,sale,868,1
2021-01-01,faro,rental,8.9,1
2021-01-01,faro,sale,2362,1
2021-01-01,guarda,sale,1147,1
