date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2020-06-01,6.5,1145,942.5,758,1019,751,687,1113,868,9.6,2286,1121,5.5,1121,13.7,3282,1442,641,9.8,2061,11.5,2034,5,767,8.4,1638,1005,766,812,6.3,4.9,6.6,7.6,5.4,NA,4.7,NA,NA,7.1,NA,6.2
2020-07-01,6.5,1157,926.25,771,1028,787,696,1131,884,9.9,2284,1123,5.5,1123,13.5,3234,1435.5,650,9.8,2039,11.4,2021,5,771,8.3,1635,982,771,822,6.2,5,6.5,7.6,5.3,4.6,4.5,NA,NA,7.1,NA,6.9
2020-08-01,6.7,1189,926.75,787,1035,785,697,1150,861,9.9,2317,1134,5.7,1134,13.4,3235,1435,633,9.8,2046,11.3,2038,5,780,8.3,1654,992,770,832,6.1,5,6.5,7.7,5.2,4.4,4.7,NA,NA,7.7,NA,6.8
2020-09-01,6.9,1203,942,779,1030,767,688,1153,857,9.4,2324,1131,5.7,1131,13.3,3253,1444.5,633,9.7,2056,11.2,2049,4.9,775,8.3,1659,998,777,841,6,4.8,6.6,7.7,5.1,4.4,4.8,NA,NA,7.2,NA,7
2020-10-01,7.1,1218,928.25,778,1031,766,683,1160,867,9.3,2328,1141,5.5,1141,13.3,3242,1457.5,619,9.7,2067,11.2,2057,4.8,772,8.4,1669,1011,835,845,6.2,4.7,6.6,7.7,5.1,4,5.1,NA,NA,7.4,NA,6.7
2020-11-01,6.7,1228,924.25,760,1039,758,680,1187,875,9.2,2336,1137,5.6,1137,13.2,3281,1494.5,631,9.8,2085,11.1,2085,4.8,782,8.4,1677,1010,852,852,6.2,4.8,6.6,7.8,5.1,NA,5.2,NA,NA,6.9,NA,6.6
2020-12-01,6.9,1249,934.25,777,1062,765,693,1196,871,9.1,2347,1143,5.6,1143,13.1,3290,1515.5,634,9.8,2107,11.1,2099,4.9,792,8.4,1688,1008,853,868,6.1,4.9,6.6,7.9,5.1,NA,5,NA,NA,7.1,NA,7.5
2021-01-01,7.2,1268,942.25,781,1077,772,700,1198,868,8.9,2362,1147,5.8,1147,13.1,3362,1529.5,634,9.8,2138,11.1,2131,5,793,8.5,1714,1014,850,861,6.1,5,6.7,8.2,5,NA,4.8,NA,NA,NA,NA,7.8
2021-02-01,7.1,1282,955.75,772,1087,779,700,1196,883,9,2354,1151,5.9,1151,13,3356,1549.5,629,9.9,2142,11.1,2123,5.1,796,8.5,1731,1020,837,864,6,4.7,6.8,8,5.2,NA,4.9,NA,NA,NA,NA,7.9
2021-03-01,6.9,1293,980.75,772,1110,772,711,1199,884,9.1,2352,1162,5.7,1162,12.9,3392,1567.5,634,9.9,2136,11,2136,5,796,8.4,1744,1034,852,856,6,4.7,6.8,8.2,5.2,4.9,5.1,NA,NA,NA,NA,7.4
